# r  u  V_H  V_eff
1.000000000000e-12 -1.663464386772e-09 1.687186433995e+00 1.687186433995e+00
1.000000001000e-03 4.743504354681e-03 1.687186433995e+00 1.687186433995e+00
2.000000001000e-03 9.468061073736e-03 1.687175183578e+00 1.687175183578e+00
3.000000001000e-03 1.417373100832e-02 1.687156492743e+00 1.687156492743e+00
4.000000001000e-03 1.886057649309e-02 1.687130406104e+00 1.687130406104e+00
5.000000001000e-03 2.352865968135e-02 1.687096968053e+00 1.687096968053e+00
6.000000001000e-03 2.817804254505e-02 1.687056222759e+00 1.687056222759e+00
7.000000001000e-03 3.280878687494e-02 1.687008214166e+00 1.687008214166e+00
8.000000001000e-03 3.742095428086e-02 1.686952985997e+00 1.686952985997e+00
9.000000001000e-03 4.201460619203e-02 1.686890581758e+00 1.686890581758e+00
1.000000000100e-02 4.658980385732e-02 1.686821044732e+00 1.686821044732e+00
1.100000000100e-02 5.114660834555e-02 1.686744417985e+00 1.686744417985e+00
1.200000000100e-02 5.568508054585e-02 1.686660744365e+00 1.686660744365e+00
1.300000000100e-02 6.020528116792e-02 1.686570066507e+00 1.686570066507e+00
1.400000000100e-02 6.470727074237e-02 1.686472426827e+00 1.686472426827e+00
1.500000000100e-02 6.919110962105e-02 1.686367867528e+00 1.686367867528e+00
1.600000000100e-02 7.365685797734e-02 1.686256430602e+00 1.686256430602e+00
1.700000000100e-02 7.810457580649e-02 1.686138157826e+00 1.686138157826e+00
1.800000000100e-02 8.253432292597e-02 1.686013090767e+00 1.686013090767e+00
1.900000000100e-02 8.694615897572e-02 1.685881270784e+00 1.685881270784e+00
2.000000000100e-02 9.134014341860e-02 1.685742739024e+00 1.685742739024e+00
2.100000000100e-02 9.571633554058e-02 1.685597536427e+00 1.685597536427e+00
2.200000000100e-02 1.000747944512e-01 1.685445703727e+00 1.685445703727e+00
2.300000000100e-02 1.044155790838e-01 1.685287281450e+00 1.685287281450e+00
2.400000000100e-02 1.087387481959e-01 1.685122309919e+00 1.685122309919e+00
2.500000000100e-02 1.130443603697e-01 1.684950829251e+00 1.684950829251e+00
2.600000000100e-02 1.173324740119e-01 1.684772879362e+00 1.684772879362e+00
2.700000000100e-02 1.216031473548e-01 1.684588499964e+00 1.684588499964e+00
2.800000000100e-02 1.258564384560e-01 1.684397730569e+00 1.684397730569e+00
2.900000000100e-02 1.300924051990e-01 1.684200610488e+00 1.684200610488e+00
3.000000000100e-02 1.343111052936e-01 1.683997178833e+00 1.683997178833e+00
3.100000000100e-02 1.385125962760e-01 1.683787474518e+00 1.683787474518e+00
3.200000000100e-02 1.426969355096e-01 1.683571536260e+00 1.683571536260e+00
3.300000000100e-02 1.468641801849e-01 1.683349402578e+00 1.683349402578e+00
3.400000000100e-02 1.510143873199e-01 1.683121111798e+00 1.683121111798e+00
3.500000000100e-02 1.551476137608e-01 1.682886702050e+00 1.682886702050e+00
3.600000000100e-02 1.592639161819e-01 1.682646211271e+00 1.682646211271e+00
3.700000000100e-02 1.633633510864e-01 1.682399677204e+00 1.682399677204e+00
3.800000000100e-02 1.674459748062e-01 1.682147137402e+00 1.682147137402e+00
3.900000000100e-02 1.715118435030e-01 1.681888629226e+00 1.681888629226e+00
4.000000000100e-02 1.755610131677e-01 1.681624189849e+00 1.681624189849e+00
4.100000000100e-02 1.795935396219e-01 1.681353856252e+00 1.681353856252e+00
4.200000000100e-02 1.836094785171e-01 1.681077665232e+00 1.681077665232e+00
4.300000000100e-02 1.876088853360e-01 1.680795653395e+00 1.680795653395e+00
4.400000000100e-02 1.915918153923e-01 1.680507857162e+00 1.680507857162e+00
4.500000000100e-02 1.955583238312e-01 1.680214312770e+00 1.680214312770e+00
4.600000000100e-02 1.995084656298e-01 1.679915056271e+00 1.679915056271e+00
4.700000000100e-02 2.034422955975e-01 1.679610123532e+00 1.679610123532e+00
4.800000000100e-02 2.073598683764e-01 1.679299550239e+00 1.679299550239e+00
4.900000000100e-02 2.112612384415e-01 1.678983371895e+00 1.678983371895e+00
5.000000000100e-02 2.151464601010e-01 1.678661623824e+00 1.678661623824e+00
5.100000000100e-02 2.190155874972e-01 1.678334341167e+00 1.678334341167e+00
5.200000000100e-02 2.228686746060e-01 1.678001558889e+00 1.678001558889e+00
5.300000000100e-02 2.267057752382e-01 1.677663311775e+00 1.677663311775e+00
5.400000000100e-02 2.305269430390e-01 1.677319634431e+00 1.677319634431e+00
5.500000000100e-02 2.343322314893e-01 1.676970561290e+00 1.676970561290e+00
5.600000000100e-02 2.381216939051e-01 1.676616126608e+00 1.676616126608e+00
5.700000000100e-02 2.418953834385e-01 1.676256364464e+00 1.676256364464e+00
5.800000000100e-02 2.456533530781e-01 1.675891308765e+00 1.675891308765e+00
5.900000000100e-02 2.493956556487e-01 1.675520993245e+00 1.675520993245e+00
6.000000000100e-02 2.531223438127e-01 1.675145451464e+00 1.675145451464e+00
6.100000000100e-02 2.568334700696e-01 1.674764716813e+00 1.674764716813e+00
6.200000000100e-02 2.605290867567e-01 1.674378822509e+00 1.674378822509e+00
6.300000000100e-02 2.642092460497e-01 1.673987801603e+00 1.673987801603e+00
6.400000000100e-02 2.678739999625e-01 1.673591686973e+00 1.673591686973e+00
6.500000000100e-02 2.715234003483e-01 1.673190511332e+00 1.673190511332e+00
6.600000000100e-02 2.751574988993e-01 1.672784307224e+00 1.672784307224e+00
6.700000000100e-02 2.787763471476e-01 1.672373107027e+00 1.672373107027e+00
6.800000000100e-02 2.823799964652e-01 1.671956942952e+00 1.671956942952e+00
6.900000000100e-02 2.859684980646e-01 1.671535847047e+00 1.671535847047e+00
7.000000000100e-02 2.895419029992e-01 1.671109851195e+00 1.671109851195e+00
7.100000000100e-02 2.931002621634e-01 1.670678987114e+00 1.670678987114e+00
7.200000000100e-02 2.966436262934e-01 1.670243286362e+00 1.670243286362e+00
7.300000000100e-02 3.001720459671e-01 1.669802780333e+00 1.669802780333e+00
7.400000000100e-02 3.036855716050e-01 1.669357500262e+00 1.669357500262e+00
7.500000000100e-02 3.071842534700e-01 1.668907477222e+00 1.668907477222e+00
7.600000000100e-02 3.106681416685e-01 1.668452742128e+00 1.668452742128e+00
7.700000000100e-02 3.141372861499e-01 1.667993325736e+00 1.667993325736e+00
7.800000000100e-02 3.175917367080e-01 1.667529258642e+00 1.667529258642e+00
7.900000000100e-02 3.210315429803e-01 1.667060571288e+00 1.667060571288e+00
8.000000000100e-02 3.244567544493e-01 1.666587293958e+00 1.666587293958e+00
8.100000000100e-02 3.278674204423e-01 1.666109456780e+00 1.666109456780e+00
8.200000000100e-02 3.312635901321e-01 1.665627089728e+00 1.665627089728e+00
8.300000000100e-02 3.346453125373e-01 1.665140222622e+00 1.665140222622e+00
8.400000000100e-02 3.380126365224e-01 1.664648885128e+00 1.664648885128e+00
8.500000000100e-02 3.413656107987e-01 1.664153106759e+00 1.664153106759e+00
8.600000000100e-02 3.447042839244e-01 1.663652916878e+00 1.663652916878e+00
8.700000000100e-02 3.480287043048e-01 1.663148344694e+00 1.663148344694e+00
8.800000000100e-02 3.513389201932e-01 1.662639419269e+00 1.662639419269e+00
8.900000000100e-02 3.546349796906e-01 1.662126169513e+00 1.662126169513e+00
9.000000000100e-02 3.579169307468e-01 1.661608624187e+00 1.661608624187e+00
9.100000000100e-02 3.611848211602e-01 1.661086811905e+00 1.661086811905e+00
9.200000000100e-02 3.644386985784e-01 1.660560761133e+00 1.660560761133e+00
9.300000000100e-02 3.676786104990e-01 1.660030500190e+00 1.660030500190e+00
9.400000000100e-02 3.709046042690e-01 1.659496057249e+00 1.659496057249e+00
9.500000000100e-02 3.741167270863e-01 1.658957460338e+00 1.658957460338e+00
9.600000000100e-02 3.773150259992e-01 1.658414737340e+00 1.658414737340e+00
9.700000000100e-02 3.804995479073e-01 1.657867915994e+00 1.657867915994e+00
9.800000000100e-02 3.836703395618e-01 1.657317023897e+00 1.657317023897e+00
9.900000000100e-02 3.868274475656e-01 1.656762088501e+00 1.656762088501e+00
1.000000000010e-01 3.899709183741e-01 1.656203137120e+00 1.656203137120e+00
1.010000000010e-01 3.931007982953e-01 1.655640196922e+00 1.655640196922e+00
1.020000000010e-01 3.962171334903e-01 1.655073294938e+00 1.655073294938e+00
1.030000000010e-01 3.993199699735e-01 1.654502458059e+00 1.654502458059e+00
1.040000000010e-01 4.024093536134e-01 1.653927713036e+00 1.653927713036e+00
1.050000000010e-01 4.054853301325e-01 1.653349086481e+00 1.653349086481e+00
1.060000000010e-01 4.085479451080e-01 1.652766604870e+00 1.652766604870e+00
1.070000000010e-01 4.115972439721e-01 1.652180294541e+00 1.652180294541e+00
1.080000000010e-01 4.146332720123e-01 1.651590181695e+00 1.651590181695e+00
1.090000000010e-01 4.176560743719e-01 1.650996292399e+00 1.650996292399e+00
1.100000000010e-01 4.206656960504e-01 1.650398652583e+00 1.650398652583e+00
1.110000000010e-01 4.236621819037e-01 1.649797288044e+00 1.649797288044e+00
1.120000000010e-01 4.266455766446e-01 1.649192224445e+00 1.649192224445e+00
1.130000000010e-01 4.296159248434e-01 1.648583487316e+00 1.648583487316e+00
1.140000000010e-01 4.325732709279e-01 1.647971102053e+00 1.647971102053e+00
1.150000000010e-01 4.355176591840e-01 1.647355093922e+00 1.647355093922e+00
1.160000000010e-01 4.384491337560e-01 1.646735488059e+00 1.646735488059e+00
1.170000000010e-01 4.413677386469e-01 1.646112309466e+00 1.646112309466e+00
1.180000000010e-01 4.442735177193e-01 1.645485583018e+00 1.645485583018e+00
1.190000000010e-01 4.471665146951e-01 1.644855333459e+00 1.644855333459e+00
1.200000000010e-01 4.500467731561e-01 1.644221585406e+00 1.644221585406e+00
1.210000000010e-01 4.529143365445e-01 1.643584363347e+00 1.643584363347e+00
1.220000000010e-01 4.557692481635e-01 1.642943691643e+00 1.642943691643e+00
1.230000000010e-01 4.586115511771e-01 1.642299594529e+00 1.642299594529e+00
1.240000000010e-01 4.614412886108e-01 1.641652096112e+00 1.641652096112e+00
1.250000000010e-01 4.642585033522e-01 1.641001220376e+00 1.641001220376e+00
1.260000000010e-01 4.670632381509e-01 1.640346991178e+00 1.640346991178e+00
1.270000000010e-01 4.698555356193e-01 1.639689432251e+00 1.639689432251e+00
1.280000000010e-01 4.726354382329e-01 1.639028567207e+00 1.639028567207e+00
1.290000000010e-01 4.754029883302e-01 1.638364419531e+00 1.638364419531e+00
1.300000000010e-01 4.781582281140e-01 1.637697012588e+00 1.637697012588e+00
1.310000000010e-01 4.809011996507e-01 1.637026369622e+00 1.637026369622e+00
1.320000000010e-01 4.836319448718e-01 1.636352513754e+00 1.636352513754e+00
1.330000000010e-01 4.863505055731e-01 1.635675467984e+00 1.635675467984e+00
1.340000000010e-01 4.890569234163e-01 1.634995255193e+00 1.634995255193e+00
1.350000000010e-01 4.917512399283e-01 1.634311898144e+00 1.634311898144e+00
1.360000000010e-01 4.944334965021e-01 1.633625419478e+00 1.633625419478e+00
1.370000000010e-01 4.971037343974e-01 1.632935841719e+00 1.632935841719e+00
1.380000000010e-01 4.997619947405e-01 1.632243187276e+00 1.632243187276e+00
1.390000000010e-01 5.024083185247e-01 1.631547478436e+00 1.631547478436e+00
1.400000000010e-01 5.050427466111e-01 1.630848737373e+00 1.630848737373e+00
1.410000000010e-01 5.076653197287e-01 1.630146986144e+00 1.630146986144e+00
1.420000000010e-01 5.102760784746e-01 1.629442246691e+00 1.629442246691e+00
1.430000000010e-01 5.128750633147e-01 1.628734540840e+00 1.628734540840e+00
1.440000000010e-01 5.154623145840e-01 1.628023890303e+00 1.628023890303e+00
1.450000000010e-01 5.180378724867e-01 1.627310316681e+00 1.627310316681e+00
1.460000000010e-01 5.206017770971e-01 1.626593841457e+00 1.626593841457e+00
1.470000000010e-01 5.231540683593e-01 1.625874486006e+00 1.625874486006e+00
1.480000000010e-01 5.256947860881e-01 1.625152271589e+00 1.625152271589e+00
1.490000000010e-01 5.282239699694e-01 1.624427219354e+00 1.624427219354e+00
1.500000000010e-01 5.307416595600e-01 1.623699350342e+00 1.623699350342e+00
1.510000000010e-01 5.332478942885e-01 1.622968685479e+00 1.622968685479e+00
1.520000000010e-01 5.357427134556e-01 1.622235245584e+00 1.622235245584e+00
1.530000000010e-01 5.382261562343e-01 1.621499051366e+00 1.621499051366e+00
1.540000000010e-01 5.406982616703e-01 1.620760123427e+00 1.620760123427e+00
1.550000000010e-01 5.431590686824e-01 1.620018482257e+00 1.620018482257e+00
1.560000000010e-01 5.456086160632e-01 1.619274148241e+00 1.619274148241e+00
1.570000000010e-01 5.480469424786e-01 1.618527141657e+00 1.618527141657e+00
1.580000000010e-01 5.504740864693e-01 1.617777482675e+00 1.617777482675e+00
1.590000000010e-01 5.528900864501e-01 1.617025191359e+00 1.617025191359e+00
1.600000000010e-01 5.552949807110e-01 1.616270287669e+00 1.616270287669e+00
1.610000000010e-01 5.576888074174e-01 1.615512791458e+00 1.615512791458e+00
1.620000000010e-01 5.600716046102e-01 1.614752722476e+00 1.614752722476e+00
1.630000000010e-01 5.624434102063e-01 1.613990100367e+00 1.613990100367e+00
1.640000000010e-01 5.648042619993e-01 1.613224944674e+00 1.613224944674e+00
1.650000000010e-01 5.671541976592e-01 1.612457274835e+00 1.612457274835e+00
1.660000000010e-01 5.694932547333e-01 1.611687110186e+00 1.611687110186e+00
1.670000000010e-01 5.718214706466e-01 1.610914469962e+00 1.610914469962e+00
1.680000000010e-01 5.741388827017e-01 1.610139373294e+00 1.610139373294e+00
1.690000000010e-01 5.764455280794e-01 1.609361839216e+00 1.609361839216e+00
1.700000000010e-01 5.787414438393e-01 1.608581886658e+00 1.608581886658e+00
1.710000000010e-01 5.810266669197e-01 1.607799534451e+00 1.607799534451e+00
1.720000000010e-01 5.833012341383e-01 1.607014801327e+00 1.607014801327e+00
1.730000000010e-01 5.855651821925e-01 1.606227705919e+00 1.606227705919e+00
1.740000000010e-01 5.878185476596e-01 1.605438266760e+00 1.605438266760e+00
1.750000000010e-01 5.900613669975e-01 1.604646502287e+00 1.604646502287e+00
1.760000000010e-01 5.922936765444e-01 1.603852430839e+00 1.603852430839e+00
1.770000000010e-01 5.945155125200e-01 1.603056070656e+00 1.603056070656e+00
1.780000000010e-01 5.967269110253e-01 1.602257439884e+00 1.602257439884e+00
1.790000000010e-01 5.989279080431e-01 1.601456556571e+00 1.601456556571e+00
1.800000000010e-01 6.011185394382e-01 1.600653438670e+00 1.600653438670e+00
1.810000000010e-01 6.032988409580e-01 1.599848104040e+00 1.599848104040e+00
1.820000000010e-01 6.054688482328e-01 1.599040570443e+00 1.599040570443e+00
1.830000000010e-01 6.076285967762e-01 1.598230855549e+00 1.598230855549e+00
1.840000000010e-01 6.097781219851e-01 1.597418976932e+00 1.597418976932e+00
1.850000000010e-01 6.119174591404e-01 1.596604952075e+00 1.596604952075e+00
1.860000000010e-01 6.140466434073e-01 1.595788798366e+00 1.595788798366e+00
1.870000000010e-01 6.161657098357e-01 1.594970533102e+00 1.594970533102e+00
1.880000000010e-01 6.182746933602e-01 1.594150173489e+00 1.594150173489e+00
1.890000000010e-01 6.203736288010e-01 1.593327736638e+00 1.593327736638e+00
1.900000000010e-01 6.224625508636e-01 1.592503239573e+00 1.592503239573e+00
1.910000000010e-01 6.245414941399e-01 1.591676699224e+00 1.591676699224e+00
1.920000000010e-01 6.266104931078e-01 1.590848132434e+00 1.590848132434e+00
1.930000000010e-01 6.286695821321e-01 1.590017555955e+00 1.590017555955e+00
1.940000000010e-01 6.307187954645e-01 1.589184986448e+00 1.589184986448e+00
