iter,eps_1s,E_tot,dE
0,-1.999998003244e+00,-3.999996006489e+00,0.000000000000e+00
1,-8.206990063190e-01,-2.604094432591e+00,2.645901075993e+00
2,-8.457830131054e-01,-2.671113085466e+00,6.701865287447e-02
3,-8.644764840603e-01,-2.720747476920e+00,4.963439145451e-02
4,-8.783729970455e-01,-2.757488502971e+00,3.674102605035e-02
5,-8.886850655079e-01,-2.784674860069e+00,2.718635709858e-02
6,-8.963270604610e-01,-2.804784758658e+00,2.010989858894e-02
7,-9.019844591618e-01,-2.819655742880e+00,1.487098422213e-02
8,-9.061691582203e-01,-2.830649554557e+00,1.099381167724e-02
9,-9.092623412609e-01,-2.838774778262e+00,8.125223704721e-03
10,-9.115473091602e-01,-2.844778219069e+00,6.003440806970e-03
11,-9.132342875004e-01,-2.849212637282e+00,4.434418212635e-03
12,-9.144791185856e-01,-2.852487116370e+00,3.274479088058e-03
13,-9.153972089291e-01,-2.854904280481e+00,2.417164111244e-03
14,-9.160739719868e-01,-2.856687983497e+00,1.783703015962e-03
15,-9.165725767612e-01,-2.858003749875e+00,1.315766378438e-03
16,-9.169397294521e-01,-2.858973983224e+00,9.702333486485e-04
17,-9.172099173069e-01,-2.859689088715e+00,7.151054906411e-04
18,-9.174086272717e-01,-2.860215919347e+00,5.268306327086e-04
19,-9.175546824932e-01,-2.860603886335e+00,3.879669878879e-04
20,-9.176619470119e-01,-2.860889406013e+00,2.855196780018e-04
21,-9.177406609058e-01,-2.861099406594e+00,2.100005804286e-04
22,-9.177983820438e-01,-2.861253787738e+00,1.543811444127e-04
23,-9.178406655788e-01,-2.861367190062e+00,1.134023235672e-04
24,-9.178716123104e-01,-2.861450438881e+00,8.324881973554e-05
