# r  u  V_H  V_x  V_eff
1.000000000000e-12 1.719917707642e-09 3.284102104989e+00 -7.660708722470e+01 -7.332298511971e+01
1.000000001000e-03 4.662142135472e-03 3.284102104989e+00 -1.489318248086e+00 1.794783856903e+00
2.000000001000e-03 9.305655541532e-03 3.284080369419e+00 -1.487333942351e+00 1.796746427068e+00
3.000000001000e-03 1.393060070495e-02 3.284044259155e+00 -1.485352611344e+00 1.798691647810e+00
4.000000001000e-03 1.853703626191e-02 3.283993860416e+00 -1.483374161662e+00 1.800619698755e+00
5.000000001000e-03 2.312502071931e-02 3.283929259002e+00 -1.481398572961e+00 1.802530686041e+00
6.000000001000e-03 2.769461245488e-02 3.283850540287e+00 -1.479425837074e+00 1.804424703213e+00
7.000000001000e-03 3.224586971696e-02 3.283757789226e+00 -1.477455949297e+00 1.806301839929e+00
8.000000001000e-03 3.677885062434e-02 3.283651090354e+00 -1.475488906218e+00 1.808162184136e+00
9.000000001000e-03 4.129361316598e-02 3.283530527792e+00 -1.473524704987e+00 1.810005822804e+00
1.000000000100e-02 4.579021520078e-02 3.283396185242e+00 -1.471563343027e+00 1.811832842215e+00
1.100000000100e-02 5.026871445735e-02 3.283248145996e+00 -1.469604817900e+00 1.813643328096e+00
1.200000000100e-02 5.472916853377e-02 3.283086492932e+00 -1.467649127243e+00 1.815437365689e+00
1.300000000100e-02 5.917163489735e-02 3.282911308521e+00 -1.465696268731e+00 1.817215039790e+00
1.400000000100e-02 6.359617088443e-02 3.282722674823e+00 -1.463746240058e+00 1.818976434765e+00
1.500000000100e-02 6.800283370015e-02 3.282520673495e+00 -1.461799038924e+00 1.820721634572e+00
1.600000000100e-02 7.239168041823e-02 3.282305385789e+00 -1.459854663028e+00 1.822450722761e+00
1.700000000100e-02 7.676276798078e-02 3.282076892552e+00 -1.457913110063e+00 1.824163782489e+00
1.800000000100e-02 8.111615319809e-02 3.281835274233e+00 -1.455974377714e+00 1.825860896520e+00
1.900000000100e-02 8.545189274845e-02 3.281580610882e+00 -1.454038463653e+00 1.827542147230e+00
2.000000000100e-02 8.977004317795e-02 3.281312982150e+00 -1.452105365540e+00 1.829207616610e+00
2.100000000100e-02 9.407066090033e-02 3.281032467295e+00 -1.450175081024e+00 1.830857386271e+00
2.200000000100e-02 9.835380219677e-02 3.280739145178e+00 -1.448247607736e+00 1.832491537442e+00
2.300000000100e-02 1.026195232158e-01 3.280433094272e+00 -1.446322943296e+00 1.834110150975e+00
2.400000000100e-02 1.068678799729e-01 3.280114392656e+00 -1.444401085307e+00 1.835713307349e+00
2.500000000100e-02 1.110989283507e-01 3.279783118024e+00 -1.442482031358e+00 1.837301086666e+00
2.600000000100e-02 1.153127240988e-01 3.279439347681e+00 -1.440565779022e+00 1.838873568658e+00
2.700000000100e-02 1.195093228330e-01 3.279083158547e+00 -1.438652325859e+00 1.840430832689e+00
2.800000000100e-02 1.236887800362e-01 3.278714627161e+00 -1.436741669411e+00 1.841972957750e+00
2.900000000100e-02 1.278511510574e-01 3.278333829677e+00 -1.434833807207e+00 1.843500022470e+00
3.000000000100e-02 1.319964911120e-01 3.277940841872e+00 -1.432928736760e+00 1.845012105112e+00
3.100000000100e-02 1.361248552815e-01 3.277535739143e+00 -1.431026455570e+00 1.846509283573e+00
3.200000000100e-02 1.402362985136e-01 3.277118596512e+00 -1.429126961119e+00 1.847991635392e+00
3.300000000100e-02 1.443308756218e-01 3.276689488625e+00 -1.427230250878e+00 1.849459237746e+00
3.400000000100e-02 1.484086412857e-01 3.276248489754e+00 -1.425336322301e+00 1.850912167453e+00
3.500000000100e-02 1.524696500503e-01 3.275795673803e+00 -1.423445172828e+00 1.852350500975e+00
3.600000000100e-02 1.565139563267e-01 3.275331114303e+00 -1.421556799885e+00 1.853774314418e+00
3.700000000100e-02 1.605416143913e-01 3.274854884417e+00 -1.419671200884e+00 1.855183683533e+00
3.800000000100e-02 1.645526783860e-01 3.274367056944e+00 -1.417788373223e+00 1.856578683721e+00
3.900000000100e-02 1.685472023183e-01 3.273867704316e+00 -1.415908314285e+00 1.857959390030e+00
4.000000000100e-02 1.725252400610e-01 3.273356898601e+00 -1.414031021441e+00 1.859325877160e+00
4.100000000100e-02 1.764868453521e-01 3.272834711509e+00 -1.412156492049e+00 1.860678219461e+00
4.200000000100e-02 1.804320717950e-01 3.272301214387e+00 -1.410284723450e+00 1.862016490938e+00
4.300000000100e-02 1.843609728583e-01 3.271756478225e+00 -1.408415712974e+00 1.863340765251e+00
4.400000000100e-02 1.882736018755e-01 3.271200573655e+00 -1.406549457940e+00 1.864651115715e+00
4.500000000100e-02 1.921700120454e-01 3.270633570956e+00 -1.404685955651e+00 1.865947615306e+00
4.600000000100e-02 1.960502564319e-01 3.270055540052e+00 -1.402825203397e+00 1.867230336655e+00
4.700000000100e-02 1.999143879637e-01 3.269466550516e+00 -1.400967198457e+00 1.868499352059e+00
4.800000000100e-02 2.037624594348e-01 3.268866671570e+00 -1.399111938097e+00 1.869754733473e+00
4.900000000100e-02 2.075945235038e-01 3.268255972088e+00 -1.397259419571e+00 1.870996552517e+00
5.000000000100e-02 2.114106326947e-01 3.267634520596e+00 -1.395409640119e+00 1.872224880477e+00
5.100000000100e-02 2.152108393959e-01 3.267002385276e+00 -1.393562596971e+00 1.873439788305e+00
5.200000000100e-02 2.189951958612e-01 3.266359633965e+00 -1.391718287344e+00 1.874641346622e+00
5.300000000100e-02 2.227637542091e-01 3.265706334158e+00 -1.389876708442e+00 1.875829625716e+00
5.400000000100e-02 2.265165664230e-01 3.265042553009e+00 -1.388037857461e+00 1.877004695548e+00
5.500000000100e-02 2.302536843512e-01 3.264368357333e+00 -1.386201731581e+00 1.878166625752e+00
5.600000000100e-02 2.339751597071e-01 3.263683813607e+00 -1.384368327974e+00 1.879315485633e+00
5.700000000100e-02 2.376810440688e-01 3.262988987972e+00 -1.382537643799e+00 1.880451344173e+00
5.800000000100e-02 2.413713888795e-01 3.262283946234e+00 -1.380709676204e+00 1.881574270030e+00
5.900000000100e-02 2.450462454473e-01 3.261568753867e+00 -1.378884422327e+00 1.882684331540e+00
6.000000000100e-02 2.487056649455e-01 3.260843476013e+00 -1.377061879295e+00 1.883781596718e+00
6.100000000100e-02 2.523496984120e-01 3.260108177483e+00 -1.375242044222e+00 1.884866133261e+00
6.200000000100e-02 2.559783967500e-01 3.259362922761e+00 -1.373424914215e+00 1.885938008546e+00
6.300000000100e-02 2.595918107280e-01 3.258607776002e+00 -1.371610486368e+00 1.886997289634e+00
6.400000000100e-02 2.631899909792e-01 3.257842801038e+00 -1.369798757766e+00 1.888044043272e+00
6.500000000100e-02 2.667729880023e-01 3.257068061375e+00 -1.367989725483e+00 1.889078335892e+00
6.600000000100e-02 2.703408521610e-01 3.256283620197e+00 -1.366183386583e+00 1.890100233613e+00
6.700000000100e-02 2.738936336844e-01 3.255489540367e+00 -1.364379738122e+00 1.891109802246e+00
6.800000000100e-02 2.774313826668e-01 3.254685884430e+00 -1.362578777142e+00 1.892107107287e+00
6.900000000100e-02 2.809541490681e-01 3.253872714610e+00 -1.360780500681e+00 1.893092213929e+00
7.000000000100e-02 2.844619827135e-01 3.253050092817e+00 -1.358984905763e+00 1.894065187054e+00
7.100000000100e-02 2.879549332936e-01 3.252218080643e+00 -1.357191989403e+00 1.895026091240e+00
7.200000000100e-02 2.914330503647e-01 3.251376739370e+00 -1.355401748610e+00 1.895974990760e+00
7.300000000100e-02 2.948963833488e-01 3.250526129964e+00 -1.353614180381e+00 1.896911949584e+00
