iter,eps_1s,E_tot,dE
0,-1.999998003244e+00,-3.999996006489e+00,0.000000000000e+00
1,-3.210113465786e-01,-2.124762286653e+00,4.017849631072e+00
2,-3.787113487720e-01,-2.307279078783e+00,1.825167921293e-01
3,-4.193279325962e-01,-2.432261816543e+00,1.249827377604e-01
4,-4.479778826237e-01,-2.518964027749e+00,8.670221120644e-02
5,-4.682081043720e-01,-2.579541228611e+00,6.057720086153e-02
6,-4.825011670589e-01,-2.622045523379e+00,4.250429476856e-02
7,-4.926026284695e-01,-2.651947731270e+00,2.990220789074e-02
8,-4.997428476810e-01,-2.673019621548e+00,2.107189027816e-02
9,-5.047902286053e-01,-2.687884774328e+00,1.486515277952e-02
10,-5.083582460880e-01,-2.698378614261e+00,1.049383993331e-02
11,-5.108804404736e-01,-2.705789718176e+00,7.411103914380e-03
12,-5.126633107662e-01,-2.711025066075e+00,5.235347899320e-03
13,-5.139235317707e-01,-2.714723921531e+00,3.698855456111e-03
14,-5.148143231869e-01,-2.717337471312e+00,2.613549780767e-03
15,-5.154439866543e-01,-2.719184207761e+00,1.846736449445e-03
16,-5.158890902996e-01,-2.720489125019e+00,1.304917257473e-03
17,-5.162037670612e-01,-2.721411223473e+00,9.220984541218e-04
18,-5.164262473583e-01,-2.722062737755e+00,6.515142818144e-04
19,-5.165836036205e-01,-2.722523180459e+00,4.604427042851e-04
20,-5.166949212551e-01,-2.722848567442e+00,3.253869834325e-04
21,-5.167736947536e-01,-2.723078509889e+00,2.299424466288e-04
22,-5.168294847012e-01,-2.723241094016e+00,1.625841270902e-04
23,-5.168690145016e-01,-2.723356045294e+00,1.149512783738e-04
24,-5.168970525265e-01,-2.723437366530e+00,8.132123568760e-05
