# r  u  V_H  V_x  V_c  V_eff
1.000000000000e-12 1.128612731501e-09 3.311631500590e+00 -5.784872631158e+01 -2.000454260205e-01 -5.473714023701e+01
1.000000001000e-03 4.696514891467e-03 3.311631500590e+00 -1.496629518645e+00 -9.015043164870e-02 1.724851550296e+00
2.000000001000e-03 9.374264156028e-03 3.311609443338e+00 -1.494635519218e+00 -9.011346691490e-02 1.726860457205e+00
3.000000001000e-03 1.403330796631e-02 3.311572798645e+00 -1.492644455288e+00 -9.007651239133e-02 1.728851830965e+00
4.000000001000e-03 1.867370523716e-02 3.311521654009e+00 -1.490656265158e+00 -9.003956702069e-02 1.730825821830e+00
5.000000001000e-03 2.329551475510e-02 3.311456096501e+00 -1.488670934885e+00 -9.000263062935e-02 1.732782530987e+00
6.000000001000e-03 2.789879517825e-02 3.311376212762e+00 -1.486688458469e+00 -8.996570319086e-02 1.734722051102e+00
7.000000001000e-03 3.248360503607e-02 3.311282089007e+00 -1.484708832175e+00 -8.992878472064e-02 1.736644472111e+00
8.000000001000e-03 3.705000272915e-02 3.311173811026e+00 -1.482732053099e+00 -8.989187524965e-02 1.738549882678e+00
9.000000001000e-03 4.159804652895e-02 3.311051464188e+00 -1.480758118699e+00 -8.985497481559e-02 1.740438370674e+00
1.000000000100e-02 4.612779457748e-02 3.310915133441e+00 -1.478787026605e+00 -8.981808345942e-02 1.742310023377e+00
1.100000000100e-02 5.063930488711e-02 3.310764903312e+00 -1.476818774530e+00 -8.978120122369e-02 1.744164927559e+00
1.200000000100e-02 5.513263534028e-02 3.310600857915e+00 -1.474853360229e+00 -8.974432815180e-02 1.746003169534e+00
1.300000000100e-02 5.960784368927e-02 3.310423080943e+00 -1.472890781475e+00 -8.970746428758e-02 1.747824835181e+00
1.400000000100e-02 6.406498755592e-02 3.310231655682e+00 -1.470931036046e+00 -8.967060967497e-02 1.749630009961e+00
1.500000000100e-02 6.850412443147e-02 3.310026665002e+00 -1.468974121719e+00 -8.963376435795e-02 1.751418778925e+00
1.600000000100e-02 7.292531167626e-02 3.309808191365e+00 -1.467020036261e+00 -8.959692838041e-02 1.753191226723e+00
