iter,eps_1s,E_tot,dE
0,-1.999998003244e+00,-3.999996006489e+00,0.000000000000e+00
1,-3.797594845295e-01,-2.272487607900e+00,3.855134568155e+00
2,-4.341888248920e-01,-2.437460608252e+00,1.649730003525e-01
3,-4.730270683765e-01,-2.552853264707e+00,1.153926564548e-01
4,-5.007554113865e-01,-2.634191841216e+00,8.133857650942e-02
5,-5.205584347248e-01,-2.691787970975e+00,5.759612975906e-02
6,-5.347047507763e-01,-2.732689143257e+00,4.090117228160e-02
7,-5.448122441769e-01,-2.761789433708e+00,2.910029045134e-02
8,-5.520354926586e-01,-2.782520467784e+00,2.073103407568e-02
9,-5.571986258030e-01,-2.797302660549e+00,1.478219276492e-02
10,-5.608901321888e-01,-2.807850278809e+00,1.054761826069e-02
11,-5.635302245617e-01,-2.815380377456e+00,7.530098646432e-03
12,-5.654190003872e-01,-2.820758585102e+00,5.378207646499e-03
13,-5.667708218098e-01,-2.824601457066e+00,3.842871963387e-03
14,-5.677388012409e-01,-2.827348385118e+00,2.746928052229e-03
15,-5.684323132038e-01,-2.829312718838e+00,1.964333719771e-03
16,-5.689294993877e-01,-2.830718016714e+00,1.405297876456e-03
17,-5.692862212658e-01,-2.831723924032e+00,1.005907317526e-03
18,-5.695423781872e-01,-2.832444319744e+00,7.203957120612e-04
19,-5.697265207767e-01,-2.832960624925e+00,5.163051809451e-04
20,-5.698590338230e-01,-2.833330878687e+00,3.702537620658e-04
21,-5.699545323849e-01,-2.833596668067e+00,2.657893798990e-04
22,-5.700234472752e-01,-2.833787607841e+00,1.909397742832e-04
23,-5.700732648373e-01,-2.833924933564e+00,1.373257225210e-04
24,-5.701093614101e-01,-2.834023880932e+00,9.894736799598e-05
0,-1.999998003244e+00,-3.999996006489e+00,0.000000000000e+00
1,-3.797594845295e-01,-2.272487607900e+00,3.855134568155e+00
2,-4.341888248920e-01,-2.437460608252e+00,1.649730003525e-01
3,-4.730270683765e-01,-2.552853264707e+00,1.153926564548e-01
4,-5.007554113865e-01,-2.634191841216e+00,8.133857650942e-02
5,-5.205584347248e-01,-2.691787970975e+00,5.759612975906e-02
6,-5.347047507763e-01,-2.732689143257e+00,4.090117228160e-02
7,-5.448122441769e-01,-2.761789433708e+00,2.910029045134e-02
8,-5.520354926586e-01,-2.782520467784e+00,2.073103407568e-02
9,-5.571986258030e-01,-2.797302660549e+00,1.478219276492e-02
10,-5.608901321888e-01,-2.807850278809e+00,1.054761826069e-02
11,-5.635302245617e-01,-2.815380377456e+00,7.530098646432e-03
12,-5.654190003872e-01,-2.820758585102e+00,5.378207646499e-03
13,-5.667708218098e-01,-2.824601457066e+00,3.842871963387e-03
14,-5.677388012409e-01,-2.827348385118e+00,2.746928052229e-03
15,-5.684323132038e-01,-2.829312718838e+00,1.964333719771e-03
16,-5.689294993877e-01,-2.830718016714e+00,1.405297876456e-03
17,-5.692862212658e-01,-2.831723924032e+00,1.005907317526e-03
18,-5.695423781872e-01,-2.832444319744e+00,7.203957120612e-04
19,-5.697265207767e-01,-2.832960624925e+00,5.163051809451e-04
20,-5.698590338230e-01,-2.833330878687e+00,3.702537620658e-04
21,-5.699545323849e-01,-2.833596668067e+00,2.657893798990e-04
22,-5.700234472752e-01,-2.833787607841e+00,1.909397742832e-04
23,-5.700732648373e-01,-2.833924933564e+00,1.373257225210e-04
24,-5.701093614101e-01,-2.834023880932e+00,9.894736799598e-05
0,-1.999998003244e+00,-3.999996006489e+00,0.000000000000e+00
1,-3.797594845295e-01,-2.272487607900e+00,3.855134568155e+00
2,-4.341888248920e-01,-2.437460608252e+00,1.649730003525e-01
3,-4.730270683765e-01,-2.552853264707e+00,1.153926564548e-01
4,-5.007554113865e-01,-2.634191841216e+00,8.133857650942e-02
5,-5.205584347248e-01,-2.691787970975e+00,5.759612975906e-02
6,-5.347047507763e-01,-2.732689143257e+00,4.090117228160e-02
7,-5.448122441769e-01,-2.761789433708e+00,2.910029045134e-02
8,-5.520354926586e-01,-2.782520467784e+00,2.073103407568e-02
9,-5.571986258030e-01,-2.797302660549e+00,1.478219276492e-02
10,-5.608901321888e-01,-2.807850278809e+00,1.054761826069e-02
11,-5.635302245617e-01,-2.815380377456e+00,7.530098646432e-03
12,-5.654190003872e-01,-2.820758585102e+00,5.378207646499e-03
13,-5.667708218098e-01,-2.824601457066e+00,3.842871963387e-03
14,-5.677388012409e-01,-2.827348385118e+00,2.746928052229e-03
15,-5.684323132038e-01,-2.829312718838e+00,1.964333719771e-03
16,-5.689294993877e-01,-2.830718016714e+00,1.405297876456e-03
17,-5.692862212658e-01,-2.831723924032e+00,1.005907317526e-03
18,-5.695423781872e-01,-2.832444319744e+00,7.203957120612e-04
19,-5.697265207767e-01,-2.832960624925e+00,5.163051809451e-04
20,-5.698590338230e-01,-2.833330878687e+00,3.702537620658e-04
21,-5.699545323849e-01,-2.833596668067e+00,2.657893798990e-04
22,-5.700234472752e-01,-2.833787607841e+00,1.909397742832e-04
23,-5.700732648373e-01,-2.833924933564e+00,1.373257225210e-04
24,-5.701093614101e-01,-2.834023880932e+00,9.894736799598e-05
0,-1.999998003244e+00,-3.999996006489e+00,0.000000000000e+00
1,-3.797594845295e-01,-2.272487607900e+00,3.855134568155e+00
2,-4.341888248920e-01,-2.437460608252e+00,1.649730003525e-01
3,-4.730270683765e-01,-2.552853264707e+00,1.153926564548e-01
4,-5.007554113865e-01,-2.634191841216e+00,8.133857650942e-02
5,-5.205584347248e-01,-2.691787970975e+00,5.759612975906e-02
6,-5.347047507763e-01,-2.732689143257e+00,4.090117228160e-02
7,-5.448122441769e-01,-2.761789433708e+00,2.910029045134e-02
8,-5.520354926586e-01,-2.782520467784e+00,2.073103407568e-02
9,-5.571986258030e-01,-2.797302660549e+00,1.478219276492e-02
10,-5.608901321888e-01,-2.807850278809e+00,1.054761826069e-02
11,-5.635302245617e-01,-2.815380377456e+00,7.530098646432e-03
12,-5.654190003872e-01,-2.820758585102e+00,5.378207646499e-03
13,-5.667708218098e-01,-2.824601457066e+00,3.842871963387e-03
14,-5.677388012409e-01,-2.827348385118e+00,2.746928052229e-03
15,-5.684323132038e-01,-2.829312718838e+00,1.964333719771e-03
16,-5.689294993877e-01,-2.830718016714e+00,1.405297876456e-03
17,-5.692862212658e-01,-2.831723924032e+00,1.005907317526e-03
18,-5.695423781872e-01,-2.832444319744e+00,7.203957120612e-04
19,-5.697265207767e-01,-2.832960624925e+00,5.163051809451e-04
20,-5.698590338230e-01,-2.833330878687e+00,3.702537620658e-04
21,-5.699545323849e-01,-2.833596668067e+00,2.657893798990e-04
22,-5.700234472752e-01,-2.833787607841e+00,1.909397742832e-04
23,-5.700732648373e-01,-2.833924933564e+00,1.373257225210e-04
24,-5.701093614101e-01,-2.834023880932e+00,9.894736799598e-05
0,-1.999998003244e+00,-3.999996006489e+00,0.000000000000e+00
1,-3.797594845295e-01,-2.272487607900e+00,3.855134568155e+00
2,-4.341888248920e-01,-2.437460608252e+00,1.649730003525e-01
3,-4.730270683765e-01,-2.552853264707e+00,1.153926564548e-01
4,-5.007554113865e-01,-2.634191841216e+00,8.133857650942e-02
5,-5.205584347248e-01,-2.691787970975e+00,5.759612975906e-02
6,-5.347047507763e-01,-2.732689143257e+00,4.090117228160e-02
7,-5.448122441769e-01,-2.761789433708e+00,2.910029045134e-02
8,-5.520354926586e-01,-2.782520467784e+00,2.073103407568e-02
9,-5.571986258030e-01,-2.797302660549e+00,1.478219276492e-02
10,-5.608901321888e-01,-2.807850278809e+00,1.054761826069e-02
11,-5.635302245617e-01,-2.815380377456e+00,7.530098646432e-03
12,-5.654190003872e-01,-2.820758585102e+00,5.378207646499e-03
13,-5.667708218098e-01,-2.824601457066e+00,3.842871963387e-03
14,-5.677388012409e-01,-2.827348385118e+00,2.746928052229e-03
15,-5.684323132038e-01,-2.829312718838e+00,1.964333719771e-03
16,-5.689294993877e-01,-2.830718016714e+00,1.405297876456e-03
17,-5.692862212658e-01,-2.831723924032e+00,1.005907317526e-03
18,-5.695423781872e-01,-2.832444319744e+00,7.203957120612e-04
19,-5.697265207767e-01,-2.832960624925e+00,5.163051809451e-04
20,-5.698590338230e-01,-2.833330878687e+00,3.702537620658e-04
21,-5.699545323849e-01,-2.833596668067e+00,2.657893798990e-04
22,-5.700234472752e-01,-2.833787607841e+00,1.909397742832e-04
23,-5.700732648373e-01,-2.833924933564e+00,1.373257225210e-04
24,-5.701093614101e-01,-2.834023880932e+00,9.894736799598e-05
0,-1.999998003244e+00,-3.999996006489e+00,0.000000000000e+00
1,-3.797594845295e-01,-2.272487607900e+00,3.855134568155e+00
2,-4.341888248920e-01,-2.437460608252e+00,1.649730003525e-01
3,-4.730270683765e-01,-2.552853264707e+00,1.153926564548e-01
4,-5.007554113865e-01,-2.634191841216e+00,8.133857650942e-02
5,-5.205584347248e-01,-2.691787970975e+00,5.759612975906e-02
6,-5.347047507763e-01,-2.732689143257e+00,4.090117228160e-02
7,-5.448122441769e-01,-2.761789433708e+00,2.910029045134e-02
8,-5.520354926586e-01,-2.782520467784e+00,2.073103407568e-02
9,-5.571986258030e-01,-2.797302660549e+00,1.478219276492e-02
10,-5.608901321888e-01,-2.807850278809e+00,1.054761826069e-02
11,-5.635302245617e-01,-2.815380377456e+00,7.530098646432e-03
12,-5.654190003872e-01,-2.820758585102e+00,5.378207646499e-03
13,-5.667708218098e-01,-2.824601457066e+00,3.842871963387e-03
14,-5.677388012409e-01,-2.827348385118e+00,2.746928052229e-03
15,-5.684323132038e-01,-2.829312718838e+00,1.964333719771e-03
16,-5.689294993877e-01,-2.830718016714e+00,1.405297876456e-03
17,-5.692862212658e-01,-2.831723924032e+00,1.005907317526e-03
18,-5.695423781872e-01,-2.832444319744e+00,7.203957120612e-04
19,-5.697265207767e-01,-2.832960624925e+00,5.163051809451e-04
20,-5.698590338230e-01,-2.833330878687e+00,3.702537620658e-04
21,-5.699545323849e-01,-2.833596668067e+00,2.657893798990e-04
22,-5.700234472752e-01,-2.833787607841e+00,1.909397742832e-04
23,-5.700732648373e-01,-2.833924933564e+00,1.373257225210e-04
24,-5.701093614101e-01,-2.834023880932e+00,9.894736799598e-05
0,-1.999998003244e+00,-3.999996006489e+00,0.000000000000e+00
1,-3.797594845295e-01,-2.272487607900e+00,3.855134568155e+00
2,-4.341888248920e-01,-2.437460608252e+00,1.649730003525e-01
3,-4.730270683765e-01,-2.552853264707e+00,1.153926564548e-01
4,-5.007554113865e-01,-2.634191841216e+00,8.133857650942e-02
5,-5.205584347248e-01,-2.691787970975e+00,5.759612975906e-02
6,-5.347047507763e-01,-2.732689143257e+00,4.090117228160e-02
7,-5.448122441769e-01,-2.761789433708e+00,2.910029045134e-02
8,-5.520354926586e-01,-2.782520467784e+00,2.073103407568e-02
9,-5.571986258030e-01,-2.797302660549e+00,1.478219276492e-02
10,-5.608901321888e-01,-2.807850278809e+00,1.054761826069e-02
11,-5.635302245617e-01,-2.815380377456e+00,7.530098646432e-03
12,-5.654190003872e-01,-2.820758585102e+00,5.378207646499e-03
13,-5.667708218098e-01,-2.824601457066e+00,3.842871963387e-03
14,-5.677388012409e-01,-2.827348385118e+00,2.746928052229e-03
15,-5.684323132038e-01,-2.829312718838e+00,1.964333719771e-03
16,-5.689294993877e-01,-2.830718016714e+00,1.405297876456e-03
17,-5.692862212658e-01,-2.831723924032e+00,1.005907317526e-03
18,-5.695423781872e-01,-2.832444319744e+00,7.203957120612e-04
19,-5.697265207767e-01,-2.832960624925e+00,5.163051809451e-04
20,-5.698590338230e-01,-2.833330878687e+00,3.702537620658e-04
21,-5.699545323849e-01,-2.833596668067e+00,2.657893798990e-04
22,-5.700234472752e-01,-2.833787607841e+00,1.909397742832e-04
23,-5.700732648373e-01,-2.833924933564e+00,1.373257225210e-04
24,-5.701093614101e-01,-2.834023880932e+00,9.894736799598e-05
0,-1.999998003244e+00,-3.999996006489e+00,0.000000000000e+00
1,-3.797594845295e-01,-2.272487607900e+00,3.855134568155e+00
2,-4.341888248920e-01,-2.437460608252e+00,1.649730003525e-01
3,-4.730270683765e-01,-2.552853264707e+00,1.153926564548e-01
4,-5.007554113865e-01,-2.634191841216e+00,8.133857650942e-02
5,-5.205584347248e-01,-2.691787970975e+00,5.759612975906e-02
6,-5.347047507763e-01,-2.732689143257e+00,4.090117228160e-02
7,-5.448122441769e-01,-2.761789433708e+00,2.910029045134e-02
8,-5.520354926586e-01,-2.782520467784e+00,2.073103407568e-02
9,-5.571986258030e-01,-2.797302660549e+00,1.478219276492e-02
10,-5.608901321888e-01,-2.807850278809e+00,1.054761826069e-02
11,-5.635302245617e-01,-2.815380377456e+00,7.530098646432e-03
12,-5.654190003872e-01,-2.820758585102e+00,5.378207646499e-03
13,-5.667708218098e-01,-2.824601457066e+00,3.842871963387e-03
14,-5.677388012409e-01,-2.827348385118e+00,2.746928052229e-03
15,-5.684323132038e-01,-2.829312718838e+00,1.964333719771e-03
16,-5.689294993877e-01,-2.830718016714e+00,1.405297876456e-03
17,-5.692862212658e-01,-2.831723924032e+00,1.005907317526e-03
18,-5.695423781872e-01,-2.832444319744e+00,7.203957120612e-04
19,-5.697265207767e-01,-2.832960624925e+00,5.163051809451e-04
20,-5.698590338230e-01,-2.833330878687e+00,3.702537620658e-04
21,-5.699545323849e-01,-2.833596668067e+00,2.657893798990e-04
22,-5.700234472752e-01,-2.833787607841e+00,1.909397742832e-04
23,-5.700732648373e-01,-2.833924933564e+00,1.373257225210e-04
24,-5.701093614101e-01,-2.834023880932e+00,9.894736799598e-05
